voisins,Search,Voisin1,Voisin2,Voisin3,Voisin4,Voisin5,movieId,imdbId
"[1033, 2419, 7643, 3683, 6592, 13226]",1033,2419,7643,3683,6592,13226,1571,115856
"[1034, 4942, 8591, 757, 10046, 5683]",1034,4942,8591,757,10046,5683,1572,57345
"[1035, 1025, 338, 9144, 553, 1689]",1035,1025,338,9144,553,1689,1573,119094
"[1036, 3847, 11101, 532, 8309, 6972]",1036,3847,11101,532,8309,6972,1580,119654
"[1037, 1361, 15356, 13226, 14499, 7643]",1037,1361,15356,13226,14499,7643,1581,119848
"[1038, 13226, 3770, 3964, 7643, 15554]",1038,13226,3770,3964,7643,15554,1582,120512
"[1039, 13226, 1192, 9700, 8858, 3770]",1039,13226,1192,9700,8858,3770,1583,120133
"[1040, 1956, 14837, 210, 1463, 10540]",1040,1956,14837,210,1463,10540,1584,118884
"[1041, 11887, 3196, 8843, 2022, 1361]",1041,11887,3196,8843,2022,1361,1586,119173
"[1042, 3770, 311, 3964, 13226, 1743]",1042,3770,311,3964,13226,1743,1588,119190
"[1043, 8843, 4243, 2251, 11509, 12094]",1043,8843,4243,2251,11509,12094,1589,118887
"[1044, 9159, 14552, 12389, 5381, 14148]",1044,9159,14552,12389,5381,14148,1590,119081
"[1045, 11193, 8858, 8843, 12152, 13151]",1045,11193,8858,8843,12152,13151,1591,120177
"[1046, 3770, 1743, 1339, 4599, 13226]",1046,3770,1743,1339,4599,13226,1592,118570
"[1047, 14908, 15356, 13226, 14499, 1841]",1047,14908,15356,13226,14499,1841,1593,119896
"[1048, 11740, 15349, 14837, 7643, 6364]",1048,11740,15349,14837,7643,6364,1594,119361
"[1049, 124, 3770, 12876, 4599, 11502]",1049,124,3770,12876,4599,11502,1595,119152
"[1050, 689, 370, 7075, 11740, 7643]",1050,689,370,7075,11740,7643,1596,118818
"[1051, 13610, 1008, 748, 1849, 1956]",1051,13610,1008,748,1849,1956,1597,118883
"[1052, 3196, 8843, 4374, 4243, 5298]",1052,3196,8843,4374,4243,5298,1598,118966
"[1053, 13151, 11502, 760, 13833, 8433]",1053,13151,11502,760,13833,8433,1599,120207
"[1054, 155, 8843, 6592, 10261, 748]",1054,155,8843,6592,10261,748,1600,120112
"[1055, 8843, 11509, 15027, 3196, 1560]",1055,8843,11509,15027,3196,1560,1601,119311
"[1056, 7621, 13226, 4599, 3905, 311]",1056,7621,13226,4599,3905,311,1602,119509
"[1057, 13897, 14552, 8843, 14593, 8858]",1057,13897,14552,8843,14593,8858,1603,119675
"[1058, 13226, 7643, 10397, 8858, 15554]",1058,13226,7643,10397,8858,15554,1604,119695
"[1059, 311, 8858, 1693, 13151, 12079]",1059,311,8858,1693,13151,12079,1605,119086
"[1060, 13151, 8858, 11502, 311, 3770]",1060,13151,8858,11502,311,3770,1606,119484
"[1061, 914, 255, 553, 2236, 121]",1061,914,255,553,2236,121,1608,118571
"[1062, 8843, 14552, 11068, 11509, 15063]",1062,8843,14552,11068,11509,15063,1609,118531
"[1063, 511, 2236, 1577, 914, 10995]",1063,511,2236,1577,914,10995,1610,99810
"[1064, 1849, 748, 6795, 15580, 5596]",1064,1849,748,6795,15580,5596,1611,102494
"[1065, 7643, 13226, 1333, 13349, 4849]",1065,7643,13226,1333,13349,4849,1612,119465
"[1066, 1777, 1065, 14172, 14499, 15356]",1066,1777,1065,14172,14499,15356,1614,119360
"[1067, 14837, 11509, 13812, 13300, 14208]",1067,14837,11509,13812,13300,14208,1615,119051
"[1068, 14552, 9685, 12885, 479, 1361]",1068,14552,9685,12885,479,1361,1616,119874
"[1069, 42, 14837, 768, 7272, 1751]",1069,42,14837,768,7272,1751,1617,119488
"[1070, 1138, 13300, 492, 11887, 2022]",1070,1138,13300,492,11887,2022,1619,120102
"[1071, 8843, 1934, 11509, 3710, 2953]",1071,8843,1934,11509,3710,2953,1620,119468
"[1072, 7643, 13226, 11740, 1463, 6364]",1072,7643,13226,11740,1463,6364,1621,120169
"[1073, 11502, 14425, 15074, 14552, 14593]",1073,11502,14425,15074,14552,14593,1623,120524
"[1074, 11509, 1361, 2022, 13226, 748]",1074,11509,1361,2022,13226,748,1624,120323
"[1075, 14837, 2897, 7275, 1185, 6795]",1075,14837,2897,7275,1185,6795,1625,119174
"[1076, 3196, 925, 7535, 8843, 8160]",1076,3196,925,7535,8843,8160,1626,119123
"[1077, 10261, 8843, 1934, 6404, 11509]",1077,10261,8843,1934,6404,11509,1627,120399
"[1078, 14499, 15255, 15356, 7643, 13226]",1078,14499,15255,15356,7643,13226,1629,119632
"[1079, 14837, 11509, 11740, 1849, 14208]",1079,14837,11509,11740,1849,14208,1633,120402
"[1080, 14837, 1079, 6795, 4922, 11740]",1080,14837,1079,6795,4922,11740,1635,119349
"[1081, 3672, 1882, 11740, 1849, 2089]",1081,3672,1882,11740,1849,2089,1639,118842
"[1082, 2436, 262, 11740, 15349, 6282]",1082,2436,262,11740,15349,6282,1641,119164
"[1083, 6795, 1849, 14370, 14837, 11561]",1083,6795,1849,14370,14837,11561,1643,119280
"[1084, 5409, 14552, 14148, 11068, 14593]",1084,5409,14552,14148,11068,14593,1644,119345
"[1085, 7275, 11037, 8843, 11068, 12389]",1085,7275,11037,8843,11068,12389,1645,118971
"[1086, 13226, 9700, 8858, 15356, 186]",1086,13226,9700,8858,15356,186,1646,120029
"[1087, 3196, 4243, 8843, 3612, 555]",1087,3196,4243,8843,3612,555,1647,119906
"[1088, 11740, 7643, 15349, 13226, 7176]",1088,11740,7643,15349,13226,7176,1648,119324
"[1089, 13610, 6795, 1849, 14837, 11555]",1089,13610,6795,1849,14837,11555,1653,119177
"[1090, 226, 14208, 13226, 6753, 6403]",1090,226,14208,13226,6753,6403,1654,119095
"[1091, 8843, 14552, 11068, 14593, 11360]",1091,8843,14552,11068,14593,11360,1655,119891
"[1092, 748, 2024, 1849, 15580, 8989]",1092,748,2024,1849,15580,8989,1656,120257
"[1093, 8843, 6592, 1463, 14908, 231]",1093,8843,6592,1463,14908,231,1658,119535
"[1094, 11740, 1849, 6795, 15009, 7643]",1094,11740,1849,6795,15009,7643,1660,119080
"[1095, 6277, 8843, 12269, 7535, 3196]",1095,6277,8843,12269,7535,3196,1661,119210
"[1096, 3196, 8843, 4374, 7171, 11509]",1096,3196,8843,4374,7171,11509,1662,118900
"[1097, 4110, 15202, 3080, 3280, 1432]",1097,4110,15202,3080,3280,1432,1663,83131
"[1098, 7995, 13226, 4320, 13818, 5841]",1098,7995,13226,4320,13818,5841,1665,118689
"[1099, 9517, 311, 13226, 15356, 14499]",1099,9517,311,13226,15356,14499,1666,119327
"[1100, 3196, 8843, 4243, 9531, 2414]",1100,3196,8843,4243,9531,2414,1667,119592
"[1101, 748, 14908, 8843, 1493, 1181]",1101,748,14908,8843,1493,1181,1668,119832
"[1102, 11887, 2022, 14837, 6403, 6323]",1102,11887,2022,14837,6403,6323,1670,120490
"[1103, 8843, 3196, 1934, 11509, 10261]",1103,8843,3196,1934,11509,10261,1671,119527
"[1104, 14837, 11433, 11509, 2173, 1079]",1104,14837,11433,11509,2173,1079,1673,118749
"[1105, 7272, 15580, 1436, 4788, 6193]",1105,7272,15580,1436,4788,6193,1674,90329
"[1106, 14478, 228, 1613, 5381, 10570]",1106,14478,228,1613,5381,10570,1676,120201
"[1107, 1849, 6795, 14837, 6274, 748]",1107,1849,6795,14837,6274,748,1678,107282
"[1108, 11502, 6707, 2732, 9517, 7429]",1108,11502,6707,2732,9517,7429,1679,118836
"[1109, 1463, 2436, 43, 13308, 15255]",1109,1463,2436,43,13308,15255,1680,120148
"[1110, 13151, 8858, 11502, 36, 1073]",1110,13151,8858,11502,36,1073,1681,119707
"[1111, 1943, 1463, 15349, 2182, 11740]",1111,1943,1463,15349,2182,11740,1682,120382
"[1112, 1849, 6795, 748, 15580, 11740]",1112,1849,6795,748,15580,11740,1683,120520
"[1113, 13226, 748, 1154, 1849, 15580]",1113,13226,748,1154,1849,15580,1685,116592
"[1114, 8843, 11509, 10261, 3196, 15027]",1114,8843,11509,10261,3196,15027,1686,119994
"[1115, 8843, 1562, 656, 12335, 4243]",1115,8843,1562,656,12335,4243,1687,119395
"[1116, 8843, 4243, 3196, 13812, 2897]",1116,8843,4243,3196,13812,2897,1689,120483
"[1117, 883, 228, 1106, 8858, 12201]",1117,883,228,1106,8858,12201,1690,118583
"[1118, 14370, 492, 1564, 14837, 1138]",1118,14370,492,1564,14837,1138,1693,118607
"[1119, 14837, 2191, 11509, 1079, 11740]",1119,14837,2191,11509,1079,11740,1694,118632
"[1120, 492, 390, 7666, 14370, 2022]",1120,492,390,7666,14370,2022,1695,123385
"[1121, 5301, 1849, 6795, 693, 748]",1121,5301,1849,6795,693,748,1696,118698
"[1122, 11740, 15349, 7643, 6364, 2265]",1122,11740,15349,7643,6364,2265,1699,118804
"[1123, 43, 11740, 7643, 13226, 14837]",1123,43,11740,7643,13226,14837,1701,118954
"[1124, 8858, 13226, 12876, 9700, 2888]",1124,8858,13226,12876,9700,2888,1702,119137
"[1125, 13226, 7643, 7621, 13349, 9517]",1125,13226,7643,7621,13349,9517,1703,119142
"[1126, 6795, 1849, 14837, 823, 1643]",1126,6795,1849,14837,823,1643,1704,119217
"[1127, 1339, 11502, 2732, 6707, 3934]",1127,1339,11502,2732,6707,3934,1707,119303
"[1128, 8843, 1934, 11509, 10261, 11068]",1128,8843,1934,11509,10261,11068,1711,119668
"[1129, 13226, 7643, 9700, 13798, 358]",1129,13226,7643,9700,13798,358,1713,119715
"[1130, 8843, 11489, 14552, 14593, 1537]",1130,8843,11489,14552,14593,1537,1715,119819
"[1131, 2252, 10450, 946, 9328, 10777]",1131,2252,10450,946,9328,10777,1717,120082
"[1132, 15349, 6795, 5419, 9217, 11740]",1132,15349,6795,5419,9217,11740,1719,120255
"[1133, 2115, 8, 4123, 5228, 2046]",1133,2115,8,4123,5228,2046,1722,120347
"[1134, 15535, 8858, 1520, 3770, 14594]",1134,15535,8858,1520,3770,14594,1726,119925
"[1135, 748, 1849, 82, 1841, 14908]",1135,748,1849,82,1841,14908,1727,119314
"[1136, 1849, 14837, 2144, 6403, 1065]",1136,1849,14837,2144,6403,1065,1728,120521
"[1137, 6592, 11509, 1236, 2591, 11740]",1137,6592,11509,1236,2591,11740,1729,119396
"[1138, 14370, 14837, 492, 6323, 12526]",1138,14370,14837,492,6323,12526,1730,119485
"[1139, 1743, 1844, 13937, 311, 11502]",1139,1743,1844,13937,311,11502,1731,119718
"[1140, 445, 14779, 936, 4535, 6378]",1140,445,14779,936,4535,6378,1732,118715
"[1141, 15349, 11740, 3683, 7955, 6795]",1141,15349,11740,3683,7955,6795,1734,119590
"[1142, 3334, 3335, 6332, 13937, 3333]",1142,3334,3335,6332,13937,3333,1739,118539
"[1143, 15356, 1361, 1760, 13226, 14499]",1143,15356,1361,1760,13226,14499,1746,120820
"[1144, 11740, 7643, 14837, 13226, 6364]",1144,11740,7643,14837,13226,6364,1747,120885
"[1145, 14411, 1089, 482, 13453, 8494]",1145,14411,1089,482,13453,8494,1748,118929
"[1146, 3770, 12876, 8858, 11193, 13151]",1146,3770,12876,8858,11193,13151,1750,120478
"[1147, 3196, 8843, 10261, 3529, 9531]",1147,3196,8843,10261,3529,9531,1752,120696
"[1148, 7643, 13226, 1467, 8555, 13349]",1148,7643,13226,1467,8555,13349,1753,120693
"[1149, 7643, 13226, 6378, 2419, 12669]",1149,7643,13226,6378,2419,12669,1755,120122
"[1150, 6378, 6795, 6321, 93, 15349]",1150,6378,6795,6321,93,15349,1757,112913
"[1151, 10615, 13675, 2698, 13004, 14264]",1151,10615,13675,2698,13004,14264,1759,119815
"[1152, 6533, 4710, 12876, 4599, 13937]",1152,6533,4710,12876,4599,13937,1760,120185
"[1153, 13151, 8858, 12201, 12012, 12683]",1153,13151,8858,12201,12012,12683,1762,118956
"[1154, 14908, 14499, 15356, 15255, 748]",1154,14908,14499,15356,15255,748,1767,119734
"[1155, 748, 15009, 15580, 6337, 1849]",1155,748,15009,15580,6337,1849,1768,119711
"[1156, 8843, 3196, 4243, 11509, 12094]",1156,8843,3196,4243,11509,12094,1769,120008
"[1157, 8843, 15610, 3196, 10261, 748]",1157,8843,15610,3196,10261,748,1770,120594
"[1158, 14425, 1073, 14552, 11502, 14148]",1158,14425,1073,14552,11502,14148,1771,119784
"[1159, 8858, 14594, 13226, 7621, 881]",1159,8858,14594,13226,7621,881,1772,118747
"[1160, 1849, 6795, 748, 7753, 6592]",1160,1849,6795,748,7753,6592,1773,114690
"[1161, 12497, 7891, 15255, 14499, 15356]",1161,12497,7891,15255,14499,15356,1777,120888
"[1162, 8858, 14594, 14552, 14148, 12389]",1162,8858,14594,14552,14148,12389,1779,120184
"[1163, 8843, 748, 1934, 15610, 11068]",1163,8843,748,1934,15610,11068,1783,120782
"[1164, 5016, 935, 10497, 262, 82]",1164,5016,935,10497,262,82,1784,119822
"[1165, 5564, 2251, 6403, 1560, 4243]",1165,5564,2251,6403,1560,4243,1785,99939
"[1166, 12269, 8843, 4243, 11509, 12094]",1166,12269,8843,4243,11509,12094,1792,120873
"[1167, 748, 14390, 7244, 7075, 11740]",1167,748,14390,7244,7075,11740,1794,119574
"[1168, 748, 1849, 15580, 7643, 13226]",1168,748,1849,15580,7643,13226,1795,112619
"[1169, 2897, 6378, 14244, 4243, 12094]",1169,2897,6378,14244,4243,12094,1799,120241
"[1170, 7572, 6403, 12231, 3770, 13812]",1170,7572,6403,12231,3770,13812,1801,120744
"[1171, 3196, 8843, 4374, 11509, 7171]",1171,3196,8843,4374,11509,7171,1804,120769
"[1172, 8843, 1934, 11509, 555, 10261]",1172,8843,1934,11509,555,10261,1805,120890
"[1173, 13226, 3770, 4322, 540, 4599]",1173,13226,3770,4322,540,4599,1806,125454
"[1174, 6795, 5394, 6334, 7251, 1849]",1174,6795,5394,6334,7251,1849,1809,119250
"[1175, 10439, 7075, 11740, 7643, 748]",1175,10439,7075,11740,7643,748,1810,119942
"[1176, 13226, 14208, 7643, 186, 11740]",1176,13226,14208,7643,186,11740,1812,120510
"[1177, 14908, 15356, 13226, 14499, 4248]",1177,14908,15356,13226,14499,4248,1816,124179
"[1178, 1777, 15190, 14908, 14499, 15356]",1178,1777,15190,14908,14499,15356,1821,120772
"[1179, 1743, 1339, 9700, 7621, 3905]",1179,1743,1339,9700,7621,3905,1822,120645
"[1180, 8843, 3196, 4243, 881, 13812]",1180,8843,3196,4243,881,13812,1824,119305
"[1181, 13226, 14908, 7643, 9094, 13117]",1181,13226,14908,7643,9094,13117,1825,119905
"[1182, 9350, 3991, 8634, 6403, 4682]",1182,9350,3991,8634,6403,4682,1827,124295
"[1183, 3770, 11193, 8858, 13151, 14594]",1183,3770,11193,8858,13151,14594,1831,120738
"[1184, 8843, 3196, 5211, 4243, 11509]",1184,8843,3196,5211,4243,11509,1833,120749
"[1185, 6294, 11509, 14837, 1751, 3741]",1185,6294,11509,14837,1751,3741,1834,120176
"[1186, 748, 82, 1849, 402, 23]",1186,748,82,1849,402,23,1835,120632
"[1187, 1280, 299, 4248, 10196, 11027]",1187,1280,299,4248,10196,11027,1836,120728
"[1188, 311, 13226, 1002, 7643, 7621]",1188,311,13226,1002,7643,7621,1837,120773
"[1189, 13226, 7621, 6533, 6707, 9517]",1189,13226,7621,6533,6707,9517,1839,120765
"[1190, 14837, 3108, 9004, 11509, 14208]",1190,14837,3108,9004,11509,14208,1840,124718
"[1191, 8843, 1934, 11068, 3536, 3196]",1191,8843,1934,11068,3536,3196,1841,119196
"[1192, 13226, 1965, 3770, 311, 4599]",1192,13226,1965,3770,311,4599,1843,120213
"[1193, 6592, 6795, 452, 1849, 13586]",1193,6592,6795,452,1849,13586,1844,118819
"[1194, 11509, 11740, 15349, 5655, 1934]",1194,11509,11740,15349,5655,1934,1845,120906
"[1195, 11740, 1849, 571, 1877, 15009]",1195,11740,1849,571,1877,15009,1846,119792
"[1196, 13226, 3964, 8858, 3770, 7643]",1196,13226,3964,8858,3770,7643,1848,118755
"[1197, 311, 9887, 6533, 748, 7621]",1197,311,9887,6533,748,7621,1849,119947
"[1198, 15356, 14499, 13226, 7643, 15255]",1198,15356,14499,13226,7643,15255,1854,120723
"[1199, 311, 13226, 6707, 9517, 7621]",1199,311,13226,6707,9517,7621,1855,120725
"[1200, 6308, 6403, 11849, 11433, 1361]",1200,6308,6403,11849,11433,1361,1856,138563
"[1201, 14908, 15356, 442, 14499, 13226]",1201,14908,15356,442,14499,13226,1857,119987
"[1202, 1960, 9554, 6378, 7613, 7643]",1202,1960,9554,6378,7613,7643,1858,117786
"[1203, 9188, 4353, 6407, 11740, 1849]",1203,9188,4353,6407,11740,1849,1859,120265
"[1204, 492, 2698, 13004, 6404, 6795]",1204,492,2698,13004,6404,6795,1860,119448
"[1205, 11502, 926, 13151, 3137, 12152]",1205,11502,926,13151,3137,12152,1862,120841
"[1206, 6343, 14393, 6707, 9517, 7621]",1206,6343,14393,6707,9517,7621,1863,120742
"[1207, 13031, 6366, 13226, 8843, 7643]",1207,13031,6366,13226,8843,7643,1866,120609
"[1208, 13151, 3770, 13937, 11502, 11193]",1208,13151,3770,13937,11502,11193,1867,120856
"[1209, 3196, 8843, 8160, 760, 9531]",1209,3196,8843,8160,760,9531,1869,120610
"[1210, 7643, 11740, 13226, 1229, 8989]",1210,7643,11740,13226,1229,8989,1875,118866
"[1211, 959, 3196, 8843, 748, 15535]",1211,959,3196,8843,748,15535,1876,120647
"[1212, 2732, 7429, 311, 6707, 11502]",1212,2732,7429,311,6707,11502,1878,120531
"[1213, 11740, 1849, 196, 571, 6795]",1213,11740,1849,196,571,6795,1880,119506
"[1214, 3964, 9700, 3838, 179, 13798]",1214,3964,9700,3838,179,13798,1881,120800
"[1215, 14908, 14499, 15255, 1841, 15356]",1215,14908,14499,15255,1841,15356,1883,118798
"[1216, 11740, 15349, 14837, 6364, 7643]",1216,11740,15349,14837,6364,7643,1884,120669
"[1217, 11740, 1849, 15255, 6795, 14499]",1217,11740,1849,15255,6795,14499,1885,120777
"[1218, 8858, 311, 13151, 14594, 13226]",1218,8858,311,13151,14594,13226,1887,119053
"[1219, 14908, 15356, 14499, 13226, 748]",1219,14908,15356,14499,13226,748,1888,119313
"[1220, 8843, 11662, 13068, 14552, 11068]",1220,8843,11662,13068,14552,11068,1891,120401
"[1221, 8843, 11509, 10261, 2231, 14837]",1221,8843,11509,10261,2231,14837,1892,120787
"[1222, 748, 11740, 1849, 6337, 1155]",1222,748,11740,1849,6337,1155,1893,116692
"[1223, 311, 6916, 15356, 1198, 14499]",1223,311,6916,15356,1198,14499,1894,120828
"[1224, 14908, 14499, 15255, 15356, 1841]",1224,14908,14499,15255,15356,1841,1895,127723
"[1225, 748, 7643, 13226, 2024, 1849]",1225,748,7643,13226,2024,1849,1896,118894
"[1226, 1849, 10468, 6795, 748, 14837]",1226,1849,10468,6795,748,14837,1897,139362
"[1227, 9864, 2378, 15349, 11740, 13804]",1227,9864,2378,15349,11740,13804,1900,118849
"[1228, 14908, 14499, 15255, 7643, 748]",1228,14908,14499,15255,7643,748,1902,116141
"[1229, 11740, 7643, 14837, 15349, 6364]",1229,11740,7643,14837,15349,6364,1904,122529
"[1230, 14499, 15356, 15255, 7643, 13226]",1230,14499,15356,15255,7643,13226,1906,119717
"[1231, 40, 434, 14385, 1579, 8302]",1231,40,434,14385,1579,8302,1907,120762
"[1232, 2138, 537, 1962, 8843, 4243]",1232,2138,537,1962,8843,4243,1909,120902
"[1233, 6592, 11509, 11740, 1849, 6795]",1233,6592,11509,11740,1849,6795,1912,120780
"[1234, 3455, 13653, 15022, 11394, 10022]",1234,3455,13653,15022,11394,10022,1913,73540
"[1235, 15349, 11740, 11814, 14837, 1048]",1235,15349,11740,11814,14837,1048,1914,120321
"[1236, 11509, 11740, 1849, 6795, 15255]",1236,11509,11740,1849,6795,15255,1916,118789
"[1237, 5498, 513, 8094, 15605, 13099]",1237,5498,513,8094,15605,13099,1917,120591
"[1238, 1310, 1309, 553, 1308, 1519]",1238,1310,1309,553,1308,1519,1918,122151
"[1239, 13226, 14208, 1176, 7643, 186]",1239,13226,14208,1176,7643,186,1919,123987
"[1240, 3964, 8858, 3516, 13226, 9700]",1240,3964,8858,3516,13226,9700,1920,122718
"[1241, 12242, 1492, 7275, 13453, 11037]",1241,12242,1492,7275,13453,11037,1921,138704
"[1242, 2737, 269, 1031, 10497, 6602]",1242,2737,269,1031,10497,6602,1923,129387
"[1243, 2294, 13196, 11906, 8066, 4423]",1243,2294,13196,11906,8066,4423,1924,52077
"[1244, 2509, 4561, 5883, 5868, 5872]",1244,2509,4561,5883,5868,5872,1926,19729
"[1245, 9443, 9278, 3945, 6622, 1247]",1245,9443,9278,3945,6622,1247,1927,20629
"[1246, 9278, 3945, 1244, 5895, 5868]",1246,9278,3945,1244,5895,5868,1929,22958
"[1247, 9278, 1244, 5868, 7094, 9189]",1247,9278,1244,5868,7094,9189,1930,23876
"[1248, 1244, 5531, 5906, 9278, 6650]",1248,1244,5531,5906,9278,6650,1932,27698
"[1249, 9278, 7094, 3945, 6650, 7209]",1249,9278,7094,3945,6650,7209,1933,29146
"[1250, 634, 5912, 6660, 9993, 647]",1250,634,5912,6660,9993,647,1934,30993
"[1251, 5959, 9410, 9781, 9278, 10369]",1251,5959,9410,9781,9278,10369,1935,33729
"[1252, 1255, 5929, 3370, 1258, 1260]",1252,1255,5929,3370,1258,1260,1936,35093
"[1253, 2098, 7094, 10369, 1260, 5259]",1253,2098,7094,10369,1260,5259,1937,36872
"[1254, 10583, 10369, 7393, 11229, 7703]",1254,10583,10369,7393,11229,7703,1938,37884
"[1255, 1252, 5959, 9107, 3370, 3511]",1255,1252,5959,9107,3370,3511,1939,36868
"[1256, 5945, 1260, 5959, 9410, 9781]",1256,5945,1260,5959,9410,9781,1940,39416
"[1257, 6616, 9520, 9715, 1244, 6716]",1257,6616,9520,9715,1244,6716,1943,44672
"[1258, 1260, 3775, 6881, 3515, 1252]",1258,1260,3775,6881,3515,1252,1944,45793
"[1259, 14609, 731, 9446, 7240, 10626]",1259,14609,731,9446,7240,10626,1945,47296
"[1260, 5595, 14609, 11229, 7240, 9878]",1260,5595,14609,11229,7240,9878,1946,48356
"[1261, 11229, 15578, 6009, 8591, 14609]",1261,11229,15578,6009,8591,14609,1947,55614
"[1262, 11229, 10117, 8368, 9409, 10972]",1262,11229,10117,8368,9409,10972,1948,57590
"[1263, 11229, 9409, 10234, 8591, 7408]",1263,11229,9409,10234,8591,7408,1949,60665
"[1264, 11229, 14609, 8671, 10185, 4532]",1264,11229,14609,8671,10185,4532,1950,61811
"[1265, 8765, 11229, 10117, 8591, 9866]",1265,8765,11229,10117,8591,9866,1951,63385
"[1266, 11229, 6072, 8591, 8765, 9409]",1266,11229,6072,8591,8765,9409,1952,64665
"[1267, 12949, 6169, 5120, 5210, 8671]",1267,12949,6169,5120,5210,8671,1953,67116
"[1268, 1627, 1628, 1629, 7788, 1630]",1268,1627,1628,1629,7788,1630,1954,75148
"[1269, 15022, 13653, 7853, 5210, 11229]",1269,15022,13653,7853,5210,11229,1955,79417
"[1270, 8467, 11229, 15580, 4110, 14837]",1270,8467,11229,15580,4110,14837,1956,81283
"[1271, 8486, 2877, 15580, 6187, 4110]",1271,8486,2877,15580,6187,4110,1957,82158
"[1272, 4110, 15202, 8467, 3280, 15580]",1272,4110,15202,8467,3280,15580,1958,86425
"[1273, 15580, 1873, 6193, 8467, 82]",1273,15580,1873,6193,8467,82,1959,89755
"[1274, 6260, 4110, 2877, 8486, 1138]",1274,6260,4110,2877,8486,1138,1960,93389
"[1275, 436, 15277, 2795, 7587, 39]",1275,436,15277,2795,7587,39,1961,95953
"[1276, 4110, 15202, 8467, 3280, 10486]",1276,4110,15202,8467,3280,10486,1962,97239
"[1277, 10117, 10972, 11229, 5356, 4079]",1277,10117,10972,11229,5356,4079,1963,65063
"[1278, 5299, 14609, 13653, 15022, 12949]",1278,5299,14609,13653,15022,12949,1964,67309
"[1279, 4110, 15202, 3080, 3280, 4303]",1279,4110,15202,3080,3280,4303,1965,87995
"[1280, 299, 1187, 4881, 6795, 6321]",1280,299,1187,4881,6795,6321,1966,100142
"[1281, 1423, 13308, 1438, 4110, 3272]",1281,1423,13308,1438,4110,3272,1967,91369
"[1282, 1426, 4110, 15202, 8467, 3280]",1282,1426,4110,15202,8467,3280,1968,88847
"[1283, 13907, 12152, 2665, 3389, 1290]",1283,13907,12152,2665,3389,1290,1969,89686
"[1284, 13907, 12152, 1283, 6123, 1290]",1284,13907,12152,1283,6123,1290,1970,93629
"[1285, 1286, 13907, 1297, 12152, 1290]",1285,1286,13907,1297,12152,1290,1971,95742
"[1286, 12152, 1285, 13907, 1290, 4056]",1286,12152,1285,13907,1290,4056,1972,97981
"[1287, 1286, 1073, 11489, 11502, 12152]",1287,1286,1073,11489,11502,12152,1973,101917
"[1288, 1290, 4056, 1289, 13907, 12152]",1288,1290,4056,1289,13907,12152,1975,82418
"[1289, 1290, 12152, 1288, 4056, 1296]",1289,1290,12152,1288,4056,1296,1976,83972
"[1290, 1289, 12152, 13907, 4056, 3642]",1290,1289,12152,13907,4056,3642,1977,87298
"[1291, 12152, 1292, 4056, 1290, 1297]",1291,12152,1292,4056,1290,1297,1978,89173
"[1292, 1290, 1291, 1293, 12152, 1288]",1292,1290,1291,1293,12152,1288,1979,91080
"[1293, 1292, 1290, 12152, 1291, 1289]",1293,1292,1290,12152,1291,1289,1980,95179
"[1294, 1290, 12152, 1289, 4056, 2732]",1294,1290,12152,1289,4056,2732,1981,97388
"[1295, 12152, 1291, 11502, 1940, 4036]",1295,12152,1291,11502,1940,4036,1984,85636
"[1296, 1297, 1290, 1289, 12152, 13907]",1296,1297,1290,1289,12152,13907,1985,95271
"[1297, 1296, 12152, 13907, 1290, 1291]",1297,1296,12152,13907,1290,1291,1986,97474
"[1298, 12152, 4056, 1290, 13907, 2072]",1298,12152,4056,1290,13907,2072,1988,93176
"[1299, 11502, 13493, 2732, 12428, 1708]",1299,11502,13493,2732,12428,1708,1990,105179
"[1300, 13907, 12152, 2665, 12023, 14552]",1300,13907,12152,2665,12023,14552,1991,94862
"[1301, 1302, 11502, 8843, 12152, 1708]",1301,1302,11502,8843,12152,1708,1992,99253
"[1302, 12152, 11502, 9239, 1301, 1708]",1302,12152,11502,9239,1301,1708,1993,103956
"[1303, 12152, 13907, 3642, 4303, 1290]",1303,12152,13907,3642,4303,1290,1995,91778
"[1304, 1303, 12152, 3642, 3118, 9239]",1304,1303,12152,3642,3118,9239,1996,95889
"[1305, 11867, 2132, 1275, 929, 39]",1305,11867,2132,1275,929,39,1997,70047
"[1306, 12152, 6123, 1939, 11502, 5109]",1306,12152,6123,1939,11502,5109,1998,76009
"[1307, 11068, 8843, 14552, 5409, 6720]",1307,11068,8843,14552,5409,6720,1999,99528
"[1308, 1309, 1238, 1310, 7272, 2897]",1308,1309,1238,1310,7272,2897,2000,93409
"[1309, 1308, 1238, 1310, 3550, 1689]",1309,1308,1238,1310,3550,1689,2001,97733
"[1310, 1238, 1309, 553, 1308, 1689]",1310,1238,1309,553,1308,1689,2002,104714
"[1311, 3143, 13308, 15202, 4110, 2665]",1311,3143,13308,15202,4110,2665,2003,87363
"[1312, 3143, 8858, 13226, 7643, 9290]",1312,3143,8858,13226,7643,9290,2004,99700
"[1313, 5532, 5318, 1432, 13308, 2843]",1313,5532,5318,1432,13308,2843,2005,89218
"[1314, 7152, 14494, 14499, 15255, 15356]",1314,7152,14494,14499,15255,15356,2006,120746
"[1315, 14908, 15356, 13226, 14499, 4248]",1315,14908,15356,13226,14499,4248,2007,119910
"[1316, 2077, 1938, 14609, 7136, 10022]",1316,2077,1938,14609,7136,10022,2009,70723
